Date,minor,Adj Close,High,Low,Open,Volume
2016-11-04,^GSPC,2085.179932,2099.070068,2083.790039,2083.790039,3837860000.0
2016-11-07,^GSPC,2131.52002,2132.0,2100.590088,2100.590088,3736060000.0
2016-11-08,^GSPC,2139.560059,2146.8701170000004,2123.560059,2129.919922,3916930000.0
2016-11-09,^GSPC,2163.26001,2170.100098,2125.350098,2131.560059,6264150000.0
2016-11-10,^GSPC,2167.47998,2182.300049,2151.169922,2167.48999,6451640000.0
2016-11-11,^GSPC,2164.449951,2165.919922,2152.48999,2162.709961,4988050000.0
2016-11-14,^GSPC,2164.199951,2171.360107,2156.080078,2165.639893,5367200000.0
2016-11-15,^GSPC,2180.389893,2180.840088,2166.3798829999996,2168.290039,4543860000.0
2016-11-16,^GSPC,2176.939941,2179.219971,2172.199951,2177.530029,3830590000.0
2016-11-17,^GSPC,2187.1201170000004,2188.060059,2176.649902,2178.610107,3809160000.0
2016-11-18,^GSPC,2181.899902,2189.889893,2180.3798829999996,2186.850098,3572400000.0
2016-11-21,^GSPC,2198.179932,2198.699951,2186.429932,2186.429932,3607010000.0
2016-11-22,^GSPC,2202.939941,2204.800049,2194.51001,2201.560059,3957940000.0
2016-11-23,^GSPC,2204.719971,2204.719971,2194.51001,2198.550049,3418640000.0
2016-11-25,^GSPC,2213.350098,2213.350098,2206.27002,2206.27002,1584600000.0
2016-11-28,^GSPC,2201.719971,2211.139893,2200.360107,2210.209961,3505650000.0
2016-11-29,^GSPC,2204.659912,2210.459961,2198.149902,2200.76001,3706560000.0
2016-11-30,^GSPC,2198.810059,2214.100098,2198.810059,2204.969971,5533980000.0
2016-12-01,^GSPC,2191.080078,2202.600098,2187.439941,2200.169922,5063740000.0
2016-12-02,^GSPC,2191.949951,2197.949951,2188.3701170000004,2191.1201170000004,3779500000.0
2016-12-05,^GSPC,2204.709961,2209.419922,2199.969971,2200.649902,3895230000.0
2016-12-06,^GSPC,2212.22998,2212.780029,2202.209961,2207.26001,3855320000.0
2016-12-07,^GSPC,2241.350098,2241.6298829999996,2208.929932,2210.719971,4501820000.0
2016-12-08,^GSPC,2246.189941,2251.689941,2237.570068,2241.1298829999996,4200580000.0
2016-12-09,^GSPC,2259.530029,2259.800049,2249.22998,2249.72998,3884480000.0
2016-12-12,^GSPC,2256.959961,2264.030029,2252.3701170000004,2258.830078,4034510000.0
2016-12-13,^GSPC,2271.719971,2277.530029,2263.320068,2263.320068,3857590000.0
2016-12-14,^GSPC,2253.280029,2276.199951,2248.439941,2268.350098,4406970000.0
2016-12-15,^GSPC,2262.030029,2272.1201170000004,2253.77002,2253.77002,4168200000.0
2016-12-16,^GSPC,2258.070068,2268.050049,2254.23999,2266.810059,5920340000.0
2016-12-19,^GSPC,2262.530029,2267.469971,2258.209961,2259.23999,3248370000.0
